Gene_Symbol	Protein	Refseq_identifier	FUS_cluster_Total	FUS_cluster_5UTR	FUS_cluster_introns	FUS_cluster_exons	FUS_cluster_3UTR	FUS_RNAseq_RPKM_FUS_KD	FUS_RNAseq_RPKM_control	FUS_RNAseq_Ratio_KD_control	FUS_RNAseq_Zscore	TDP_cluster_Total	TDP_cluster_5UTR	TDP_cluster_introns	TDP_cluster_exons	TDP_cluster_3UTR	TDP_RNAseq_TDP_KD	TDP_RNAseq_RPKM_control	TDP_RNAseq_Ratio_KD_control	TDP_RNAseq_Zscore
AK161480	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700003P12 product:RIKEN cDNA 4933432I09 gene, full insert sequence.	AK161480	0	0	0	0	0	0.456	1.156	0.39	-2.589	0	0	0	0	0	0.524	1.156	0.45	-1.987
AK019348	Mus musculus adult male hippocampus cDNA, RIKEN full-length enriched library, clone:2900042K03 product:unclassifiable, full insert sequence.	AK019348	1	0	0	1	0	2.86	4.518	0.63	-2.579	0	0	0	0	0	3.312	4.518	0.73	-1.372
Doc2b	double C2, beta	NM_007873	0	0	0	0	0	16.888	21.88	0.77	-2.577	5	0	5	0	0	24.012	21.88	1.10	0.469
Nudt16	Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310041H06 product:hypothetical NUDIX hydrolase containing protein, full insert sequence.	AK012920	0	0	0	0	0	2.438	3.928	0.62	-2.57	0	0	0	0	0	4.906	3.928	1.25	0.514
Rim	Mus musculus partial mRNA for Rim, splice variant 1.	AK090169	365	8	357	0	7	9.82	13.176	0.75	-2.556	102	0	102	0	0	6.027	13.176	0.46	-3.484
Lrrc6	leucine rich repeat containing 6 (testis)	NM_019457	0	0	0	0	0	1.496	2.534	0.59	-2.529	0	0	0	0	0	1.615	2.534	0.64	-1.657
Slc13a4	solute carrier family 13 (sodium/sulfate	AK139428	0	0	0	0	0	0.779	1.691	0.46	-2.524	0	0	0	0	0	1.04	1.691	0.62	-1.573
AK085944	Mus musculus 13 days embryo lung cDNA, RIKEN full-length enriched library, clone:D430020J02 product:similar to ENVELOPE PROTEIN (FRAGMENT) [Friend spleen focus-forming virus], full insert sequence.	AK085944	0	0	0	0	0	1.826	2.93	0.62	-2.521	0	0	0	0	0	2.864	2.93	0.98	-0.418
Micall1	MICAL-like protein 1 (Molecule interacting with Rab13) (MIRab13).	AK031386	2	1	0	0	2	10.286	13.731	0.75	-2.514	5	0	5	0	0	12.145	13.731	0.88	-0.725
1200009O22Rik	hypothetical protein LOC66873	NM_025817	0	0	0	0	0	7.543	10.039	0.75	-2.511	2	0	0	0	2	10.838	10.039	1.08	0.176
Rxrb	retinoid X receptor beta	M84818	0	0	0	0	0	8.607	11.508	0.75	-2.509	0	0	0	0	0	8.767	11.508	0.76	-1.361
Hes5	hairy and enhancer of split 5	NM_010419	0	0	0	0	0	2.926	4.567	0.64	-2.509	0	0	0	0	0	3.004	4.567	0.66	-1.758
Igf2	insulin-like growth factor 2	NM_010514	0	0	0	0	0	13.299	17.254	0.77	-2.497	0	0	0	0	0	14.843	17.254	0.86	-0.859
AK148126	Mus musculus 7 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:A730084D15 product:unclassifiable, full insert sequence.	AK148126	0	0	0	0	0	0.568	1.343	0.42	-2.481	0	0	0	0	0	1.247	1.343	0.93	-0.569
Rbmx	RNA binding motif protein, X-linked	AK165006	15	0	2	0	13	14.826	19.044	0.78	-2.476	1	0	1	0	0	17.624	19.044	0.93	-0.445
Fgf11	fibroblast growth factor 11	NM_010198	0	0	0	0	0	1.352	2.306	0.59	-2.474	0	0	0	0	0	2.431	2.306	1.05	-0.195
Podxl	podocalyxin-like	NM_013723	0	0	0	0	0	5.062	7.113	0.71	-2.471	0	0	0	0	0	8.963	7.113	1.26	0.765
Gdf10	growth differentiation factor 10	NM_145741	1	0	0	0	1	0.917	1.798	0.51	-2.471	0	0	0	0	0	1.199	1.798	0.67	-1.489
Jph4	junctophilin 4 isoform a	NM_177049	14	0	4	0	10	57.606	79.164	0.73	-2.465	4	0	1	0	3	69.172	79.164	0.87	-0.644
C030030A07Rik	hypothetical protein LOC654818	NM_001039558	0	0	0	0	0	1.959	3.101	0.63	-2.456	0	0	0	0	0	2.926	3.101	0.94	-0.527
AK080292	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630034I12 product:unclassifiable, full insert sequence.	AK080292	0	0	0	0	0	2.411	3.835	0.63	-2.454	1	0	1	0	0	4.384	3.835	1.14	0.174
Shkbp1	Sh3kbp1 binding protein 1	AK160641	0	0	0	0	0	2.366	3.734	0.63	-2.452	1	0	1	0	0	4.599	3.734	1.23	0.455
Ptprv	protein tyrosine phosphatase, receptor type, V	NM_007955	0	0	0	0	0	4.091	5.865	0.70	-2.45	0	0	0	0	0	4.875	5.865	0.83	-0.979
AK082896	Mus musculus 7 days embryo whole body cDNA, RIKEN full-length enriched library, clone:C430010C01 product:inferred: GLUT4 enhancer factor {Homo sapiens}, full insert sequence.	AK082896	2	0	0	2	0	2.9	4.484	0.65	-2.445	1	0	1	0	0	3.948	4.484	0.88	-0.73
Enox1	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230207J08 product:hypothetical RNA-binding domain, RBD structure containing protein, full insert sequence.	AK045500	210	0	208	1	1	3.781	5.493	0.69	-2.443	52	0	52	0	0	5.609	5.493	1.02	-0.202
Slc10a4	solute carrier family 10 (sodium/bile acid	NM_173403	0	0	0	0	0	1.573	2.6	0.61	-2.435	0	0	0	0	0	1.125	2.6	0.43	-2.694
Me3	malic enzyme 3, NADP(+)-dependent,	AK133593	37	0	32	2	3	4.685	6.593	0.71	-2.426	2	0	2	0	0	4.153	6.593	0.63	-2.004
Pecam1	platelet/endothelial cell adhesion molecule 1	NM_008816	0	0	0	0	0	3.678	5.352	0.69	-2.413	0	0	0	0	0	5.687	5.352	1.06	-0.062
Gpc5	Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230034F01 product:glypican 5, full insert sequence.	AK134807	51	0	51	0	0	5.322	7.333	0.73	-2.399	43	0	43	0	0	3.742	7.333	0.51	-2.79
Hist1h2be	histone 1, H2be	NM_178194	0	0	0	0	0	1.213	2.113	0.57	-2.398	0	0	0	0	0	1.958	2.113	0.93	-0.614
Adamts3	a disintegrin-like and metalloprotease	NM_001081401	5	0	4	1	0	6.198	8.432	0.74	-2.397	7	0	7	0	0	7.189	8.432	0.85	-0.957
MMET-1	Mus musculus mRNA for truncated granzyme M, complete cds.	AB015727	0	0	0	0	0	0.234	0.672	0.35	-2.396	1	0	1	0	0	0.469	0.672	0.70	-1.099
Grm7	Mus musculus 10 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:B930030A02 product:glutamate receptor, metabotropic 7, full insert sequence.	AK053447	340	4	332	1	3	12.142	15.64	0.78	-2.394	119	0	118	0	1	8.094	15.64	0.52	-3.156
Dlk1	delta-like 1 homolog	U15980	0	0	0	0	0	0.354	1.014	0.35	-2.394	0	0	0	0	0	1.139	1.014	1.12	-0.121
AK173072	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4932433E03 product:Hypothetical protein GS164B05.1 in chromosome 7 (Fragment) homolog [Homo sapiens], full insert sequence.	AK173072	7	0	7	0	0	5.79	7.919	0.73	-2.387	13	0	12	1	0	4.489	7.919	0.57	-2.483
4932418E24Rik	hypothetical protein LOC329366	NM_177841	0	0	0	0	0	2.066	3.207	0.64	-2.385	3	0	3	0	0	2.783	3.207	0.87	-0.797
Ptprb	protein tyrosine phosphatase, receptor type, B	NM_029928	0	0	0	0	0	2.6	4.046	0.64	-2.382	0	0	0	0	0	3.693	4.046	0.91	-0.613
AK045371	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230107K20 product:unclassifiable, full insert sequence.	AK045371	0	0	0	0	0	2.006	3.125	0.64	-2.376	0	0	0	0	0	3.416	3.125	1.09	-0.024
Phactr1	phosphatase and actin regulator 1 isoform 3	NM_001005748	424	3	421	0	2	94.094	127.652	0.74	-2.371	136	0	136	0	0	106.882	127.652	0.84	-0.845
Gpr83	G protein-coupled receptor 83	NM_010287	0	0	0	0	0	8.747	11.489	0.76	-2.358	0	0	0	0	0	14.538	11.489	1.27	0.953
4930402H24Rik	hypothetical protein LOC228602	NM_029432	46	0	37	1	8	14.662	18.619	0.79	-2.356	32	0	31	0	1	18.278	18.619	0.98	-0.158
AK041042	Mus musculus adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530067O22 product:unclassifiable, full insert sequence.	AK041042	1	0	0	1	0	11.303	14.666	0.77	-2.347	1	0	1	0	0	14.074	14.666	0.96	-0.332
PBX3	Mus musculus transcription factor PBX3a (PBX3) mRNA, complete cds.	AK052017	37	0	36	0	1	7.501	9.814	0.76	-2.34	9	0	9	0	0	12.001	9.814	1.22	0.75
Syt10	synaptotagmin X	NM_018803	0	0	0	0	0	1.707	2.71	0.63	-2.339	1	0	1	0	0	4.13	2.71	1.52	1.078
Adamts4	a disintegrin-like and metalloprotease	AK076295	0	0	0	0	0	6.338	8.527	0.74	-2.332	1	0	0	0	1	9.644	8.527	1.13	0.344
Cygb	cytoglobin	NM_030206	0	0	0	0	0	11.095	14.348	0.77	-2.332	0	0	0	0	0	15.298	14.348	1.07	0.175
5730469M10Rik	hypothetical protein LOC70564	NM_027464	5	0	0	2	3	17.057	21.55	0.79	-2.332	0	0	0	0	0	21.723	21.55	1.01	0.017
AK053779	Mus musculus adult male tongue cDNA, RIKEN full-length enriched library, clone:2310015A10 product:unclassifiable, full insert sequence.	AK053779	1	0	1	0	0	2.117	3.241	0.65	-2.331	0	0	0	0	0	3.212	3.241	0.99	-0.346
RP23-198E14.4	Novel RNA polymerase Rpb1 C-terminal repeat domain containing protein.	BC130255	3	0	2	1	0	1.949	3.024	0.64	-2.325	1	0	1	0	0	4.245	3.024	1.40	0.847
Lrrn2	leucine rich repeat protein 2, neuronal	NM_010732	20	0	20	0	0	18.665	23.781	0.78	-2.325	2	0	2	0	0	25.399	23.781	1.07	0.325
Lrrtm4	leucine rich repeat transmembrane neuronal 4	NM_178731	418	0	413	2	3	8.968	11.739	0.76	-2.322	164	0	164	0	0	10.402	11.739	0.89	-0.697
Snrk	SNF related kinase	BC094658	39	1	36	2	0	10.166	13.311	0.76	-2.318	20	0	20	0	0	12.96	13.311	0.97	-0.275
Ryr3	Ryr3 protein.	BC116742	102	0	94	0	8	9.02	11.806	0.76	-2.318	34	0	33	0	1	7.069	11.806	0.60	-2.439
Scd1	stearoyl-Coenzyme A desaturase 1	NM_009127	5	0	0	0	5	34.057	45.936	0.74	-2.317	0	0	0	0	0	36.405	45.936	0.79	-1.104
1810041L15Rik	1810041L15Rik protein (Hypothetical protein).	BC120551	1	0	1	0	0	3.779	5.404	0.70	-2.317	4	0	3	0	1	5.283	5.404	0.98	-0.381
Gpr116	G protein-coupled receptor 116	AK173020	0	0	0	0	0	5.525	7.513	0.74	-2.316	0	0	0	0	0	8.303	7.513	1.11	0.19
Gpr139	G protein-coupled receptor 139	NM_001024138	0	0	0	0	0	0.851	1.717	0.50	-2.313	0	0	0	0	0	1.683	1.717	0.98	-0.467
C1qtnf5	C1q and tumor necrosis factor related protein 5	NM_001040632	0	0	0	0	0	3.27	4.817	0.68	-2.306	0	0	0	0	0	4.774	4.817	0.99	-0.318
Kif13a	kinesin family member 13A	AK220490	17	0	17	0	0	5.178	7.128	0.73	-2.302	29	0	29	0	0	7.659	7.128	1.07	0.057
Zic1	Zic family member 1	BC060247	8	0	1	1	6	2.764	4.241	0.65	-2.299	4	2	0	0	2	5.412	4.241	1.28	0.616
BC049805	Mus musculus, clone IMAGE:4481448, mRNA.	BC049805	0	0	0	0	0	5.804	7.851	0.74	-2.298	0	0	0	0	0	11.02	7.851	1.40	1.315
Fat3	FAT tumor suppressor homolog 3 (Drosophila).	BC117744	57	5	50	0	2	10.1	13.187	0.77	-2.294	39	1	37	0	1	8.882	13.187	0.67	-1.948
Foxj1	forkhead box J1	BC094569	0	0	0	0	0	3.765	5.372	0.70	-2.289	1	1	0	0	0	8.288	5.372	1.54	1.497
Sbf2	Sbf2 protein (Fragment).	BC015069	14	1	13	0	0	9.565	12.429	0.77	-2.282	1	0	1	0	0	12.619	12.429	1.02	-0.07
Tcf7	Mus musculus 16 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A130029N06 product:transcription factor 7, T-cell specific, full insert sequence.	AK203658	0	0	0	0	0	2.247	3.438	0.65	-2.27	0	0	0	0	0	3.438	3.438	1.00	-0.315
Slco1c1	solute carrier organic anion transporter family,	NM_021471	3	0	2	1	0	10.44	13.552	0.77	-2.266	8	0	8	0	0	12.598	13.552	0.93	-0.509
AK012955	Mus musculus 10, 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2810055G20 product:unclassifiable, full insert sequence.	AK012955	156	1	149	0	6	1.935	2.981	0.65	-2.263	40	0	39	0	1	4.531	2.981	1.52	1.158
ten-m2	Mus musculus mRNA for Ten-m2, complete cds.	AK031198	760	0	760	0	0	8.092	10.525	0.77	-2.261	174	0	174	0	0	8.128	10.525	0.77	-1.322
Aldh5a1	aldhehyde dehydrogenase family 5, subfamily A1	NM_172532	2	0	1	1	0	8.125	10.562	0.77	-2.255	2	0	2	0	0	8.761	10.562	0.83	-0.968
AI464131	hypothetical protein LOC329828	NM_001085515	0	0	0	0	0	5.839	7.855	0.74	-2.253	0	0	0	0	0	6.714	7.855	0.85	-0.932
Hist1h1e	histone 1, H1e	NM_015787	0	0	0	0	0	1.541	2.478	0.62	-2.25	0	0	0	0	0	2.437	2.478	0.98	-0.386
AK157795	Mus musculus 9.5 days embryo parthenogenote cDNA, RIKEN full-length enriched library, clone:B130046B21 product:hypothetical protein, full insert sequence.	AK157795	0	0	0	0	0	2.283	3.492	0.65	-2.243	0	0	0	0	0	2.022	3.492	0.58	-2.011
Abcc4	ATP-binding cassette, sub-family C (CFTR/MRP),	NM_001033336	0	0	0	0	0	1.557	2.491	0.63	-2.238	10	0	10	0	0	2.674	2.491	1.07	-0.116
Lphn3	Latrophilin-3 precursor (Lectomedin-3).	BC058992	327	11	313	0	10	10.093	13.078	0.77	-2.238	84	2	82	0	0	9.506	13.078	0.73	-1.592
4933407H18Rik	hypothetical protein LOC71101	NM_001081101	2	1	0	0	1	5.018	6.847	0.73	-2.237	2	0	2	0	0	9.277	6.847	1.35	1.091
Wbscr27	Williams-Beuren syndrome critical region protein	NM_024479	0	0	0	0	0	2.039	3.098	0.66	-2.233	0	0	0	0	0	3.61	3.098	1.17	0.188
Rreb1	ras responsive element binding protein 1 isoform	NM_001039188	5	4	1	0	0	7.171	9.394	0.76	-2.23	1	0	0	0	1	8.249	9.394	0.88	-0.785
Cpt1b	carnitine palmitoyltransferase 1b, muscle	AK146851	0	0	0	0	0	0.209	0.559	0.37	-2.22	0	0	0	0	0	0.653	0.559	1.17	-0.136
Ndrg1	N-myc downstream regulated gene 1	NM_008681	0	0	0	0	0	22.464	28.213	0.80	-2.218	1	0	1	0	0	31.035	28.213	1.10	0.462
Ctnna2	catenin (cadherin associated protein), alpha 2	NM_145732	580	0	579	1	0	15.286	19.128	0.80	-2.214	181	0	181	0	0	7.151	19.128	0.37	-5.078
AK006252	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700022O21 product:hypothetical KRAB box containing protein, full insert sequence.	AK006252	0	0	0	0	0	3.07	4.573	0.67	-2.213	0	0	0	0	0	4.681	4.573	1.02	-0.199
AK154275	Mus musculus NOD-derived CD11c +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F630014F13 product:unclassifiable, full insert sequence.	AK154275	1	0	0	1	0	1.406	2.279	0.62	-2.21	1	0	0	1	0	2.508	2.279	1.10	-0.063
Slit3	slit homolog 3	NM_011412	279	0	278	1	0	6.003	8.013	0.75	-2.209	74	0	74	0	0	3.85	8.013	0.48	-3.081
Vegfb	vascular endothelial growth factor B	NM_011697	0	0	0	0	0	9.416	12.115	0.78	-2.203	0	0	0	0	0	13.683	12.115	1.13	0.429
Spint2	serine protease inhibitor, Kunitz type 2 isoform	NM_011464	0	0	0	0	0	3.661	5.17	0.71	-2.201	0	0	0	0	0	5.361	5.17	1.04	-0.157
BC057022	hypothetical protein LOC433940	NM_001004180	0	0	0	0	0	3.713	5.193	0.72	-2.198	7	0	7	0	0	6.018	5.193	1.16	0.275
Nlgn1	neuroligin 1	BC098461	667	1	660	2	4	9.161	11.848	0.77	-2.197	158	0	157	0	1	6.051	11.848	0.51	-3.176
Agbl5	carboxypeptidase 5, cytosolic isoform 5	NM_174849	2	2	0	0	0	3.699	5.168	0.72	-2.195	0	0	0	0	0	5.217	5.168	1.01	-0.256
Dcc	Mus musculus 12 days embryo spinal cord cDNA, RIKEN full-length enriched library, clone:C530046D04 product:deleted in colorectal carcinoma, full insert sequence.	AK049746	320	0	318	1	1	7.5	9.687	0.77	-2.195	56	1	55	0	0	4.686	9.687	0.48	-3.287
Rasgrp2	RAS, guanyl releasing protein 2	AK160563	0	0	0	0	0	25.428	32.629	0.78	-2.193	2	0	2	0	0	27.611	32.629	0.85	-0.795
AK083195	Mus musculus 16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630016B09 product:unclassifiable, full insert sequence.	AK083195	44	0	35	0	9	4.037	5.614	0.72	-2.188	7	0	5	1	1	3.172	5.614	0.57	-2.304
Flad1	FAD-synthetase	AK044501	2	0	1	0	1	8.566	11.001	0.78	-2.185	0	0	0	0	0	9.838	11.001	0.89	-0.651
Pogk	pogo transposable element with KRAB domain	NM_175170	0	0	0	0	0	18.258	22.764	0.80	-2.184	1	0	1	0	0	17.942	22.764	0.79	-1.212
Pygo1	pygopus 1	NM_028116	0	0	0	0	0	2.814	4.227	0.67	-2.184	0	0	0	0	0	5.071	4.227	1.20	0.363
AK039159	Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230103J11 product:unclassifiable, full insert sequence.	AK039159	0	0	0	0	0	2.091	3.129	0.67	-2.175	0	0	0	0	0	3.022	3.129	0.97	-0.449
E330018D03Rik	hypothetical protein LOC320319	NM_177133	5	0	0	0	5	8.008	10.336	0.77	-2.172	0	0	0	0	0	9.87	10.336	0.95	-0.375
Myst4	MYST histone acetyltransferase monocytic	NM_017479	73	1	65	0	7	13.46	16.877	0.80	-2.169	45	0	44	0	1	14.794	16.877	0.88	-0.78
Adra2c	adrenergic receptor, alpha 2c	NM_007418	0	0	0	0	0	7.368	9.517	0.77	-2.165	0	0	0	0	0	9.098	9.517	0.96	-0.383
Carf	calcium response factor	NM_139150	3	0	2	0	1	2.834	4.242	0.67	-2.161	1	0	1	0	0	3.688	4.242	0.87	-0.786
Zfp710	zinc finger protein 710	AK154953	1	0	1	0	0	5.784	7.708	0.75	-2.161	3	0	3	0	0	8.469	7.708	1.10	0.164
Slc39a2	Mus musculus B6-derived CD11 +ve dendritic cells cDNA, RIKEN full-length enriched library, clone:F730005G13 product:similar to ETI-1 PROTEIN (ZINC TRANSPORTER HZIP2) [Homo sapiens], full insert sequence.	AK135117	0	0	0	0	0	3.928	5.479	0.72	-2.159	0	0	0	0	0	4.703	5.479	0.86	-0.87
Mccc2	Adult male testis cDNA, RIKEN full-length enriched library, clone:4930552N12 product:hypothetical protein, full insert sequence.	AK019760	4	0	4	0	0	4.459	6.114	0.73	-2.153	9	0	9	0	0	6.491	6.114	1.06	-0.033
AJ517767	Mus musculus domesticus 129S1 imprinted Meg9 mRNA, partial sequence.	AJ517767	19	0	12	6	1	9.352	11.982	0.78	-2.151	7	0	3	4	0	10.878	11.982	0.91	-0.588
Pcdhb6	protocadherin beta 6	NM_053131	0	0	0	0	0	0.779	1.561	0.50	-2.15	0	0	0	0	0	0.927	1.561	0.59	-1.595
Bcs1l	BCS1-like	NM_025784	0	0	0	0	0	4.154	5.72	0.73	-2.144	0	0	0	0	0	5.943	5.72	1.04	-0.131
AK138915	Mus musculus adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530002D02 product:hypothetical Protein kinase/Serine/threonine protein kinase/Tyrosine protein kinase/Protein kinase domain profile/Proline-rich region profile/Protein kinase-like/Myb DNA-binding domain/Serine/threonine protein kinase, active site containing protein, full insert sequence.	AK138915	0	0	0	0	0	0.332	0.864	0.38	-2.143	0	0	0	0	0	0.767	0.864	0.89	-0.624
AK140147	Mus musculus adult male corpora quadrigemina cDNA, RIKEN full-length enriched library, clone:B230314M03 product:hypothetical protein, full insert sequence.	AK140147	0	0	0	0	0	1.558	2.449	0.64	-2.135	0	0	0	0	0	2.531	2.449	1.03	-0.237
Nwd1	NACHT and WD repeat domain containing 1	NM_176940	3	0	0	2	1	12.711	15.963	0.80	-2.132	7	0	5	1	1	11.902	15.963	0.75	-1.592
Nrg3	neuregulin 3	AK138643	754	0	746	1	7	4.3	5.878	0.73	-2.13	225	0	225	0	0	2.129	5.878	0.36	-3.848
Cd4	CD4 antigen	AK040115	0	0	0	0	0	11.254	14.236	0.79	-2.127	0	0	0	0	0	14.364	14.236	1.01	-0.087
BC048612	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930570G19 product:unclassifiable, full insert sequence.	BC048612	12	0	7	0	5	4.973	6.675	0.75	-2.126	4	0	4	0	0	5.637	6.675	0.84	-0.932
AK038386	Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230001M10 product:unclassifiable, full insert sequence.	AK038386	0	0	0	0	0	0.457	1.001	0.46	-2.124	1	0	1	0	0	1.09	1.001	1.09	-0.193
Plag1	pleiomorphic adenoma gene 1	NM_019969	0	0	0	0	0	1.012	1.771	0.57	-2.118	0	0	0	0	0	1.583	1.771	0.89	-0.727
Htr1b	5-hydroxytryptamine (serotonin) receptor 1B	NM_010482	0	0	0	0	0	4.794	6.48	0.74	-2.115	0	0	0	0	0	5.765	6.48	0.89	-0.731
Tgfbr3	transforming growth factor, beta receptor III	AK166082	1	0	1	0	0	2.934	4.329	0.68	-2.113	16	0	15	0	1	4.654	4.329	1.08	-0.026
4631426J05Rik	N-acetylgalactosamine 4-sulfate	NM_029935	16	0	16	0	0	12.606	15.746	0.80	-2.107	7	0	6	0	1	15.952	15.746	1.01	-0.057
4930412F15Rik	hypothetical protein LOC242408	AK076680	0	0	0	0	0	0.338	0.867	0.39	-2.105	0	0	0	0	0	0.615	0.867	0.71	-1.091
Smpd3	sphingomyelin phosphodiesterase 3, neutral	BC046980	7	0	6	0	1	29.286	38.56	0.76	-2.104	3	0	3	0	0	39.834	38.56	1.03	0.139
Npas4	neuronal PAS domain protein 4	NM_153553	0	0	0	0	0	6.29	8.251	0.76	-2.101	0	0	0	0	0	6.08	8.251	0.74	-1.514
Ccdc117	coiled-coil domain containing 117	NM_134033	0	0	0	0	0	4.057	5.573	0.73	-2.096	0	0	0	0	0	5.153	5.573	0.92	-0.586
TrkC	Mus musculus 0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630004O17 product:neurotrophic tyrosine kinase, receptor, type 3, full insert sequence.	AK164887	184	8	174	0	7	6.974	9.057	0.77	-2.096	82	1	81	0	1	6.812	9.057	0.75	-1.52
Zfp521	zinc finger protein 521 isoform 1	NM_145492	118	0	118	0	0	2.834	4.197	0.68	-2.095	43	0	43	0	0	5.22	4.197	1.24	0.501
Tpst1	protein-tyrosine sulfotransferase 1	NM_013837	2	0	2	0	0	10.44	13.318	0.78	-2.094	4	0	4	0	0	13.57	13.318	1.02	-0.037
Lbp	Mus musculus 6 days neonate spleen cDNA, RIKEN full-length enriched library, clone:F420002K21 product:lipopolysaccharide binding protein, full insert sequence.	AK158105	0	0	0	0	0	0.553	1.176	0.47	-2.089	0	0	0	0	0	1.234	1.176	1.05	-0.288
Myl9	Myosin regulatory light chain 2, smooth muscle isoform (Myosin RLC) (Myosin regulatory light chain 9).	BC055439	0	0	0	0	0	2.861	4.23	0.68	-2.089	0	0	0	0	0	5.1	4.23	1.21	0.383
2600009E05Rik	hypothetical protein LOC77006	NM_029832	5	0	5	0	0	13.66	16.974	0.80	-2.088	1	0	1	0	0	17.885	16.974	1.05	0.172
Akp2	alkaline phosphatase 2, liver	NM_007431	0	0	0	0	0	0.858	1.644	0.52	-2.087	0	0	0	0	0	1.223	1.644	0.74	-1.167
Tgfa	transforming growth factor alpha	NM_031199	0	0	0	0	0	20.613	25.422	0.81	-2.083	1	0	1	0	0	31.557	25.422	1.24	1.03
Trip6	thyroid receptor-interacting protein 6	NM_011639	0	0	0	0	0	0.666	1.353	0.49	-2.079	0	0	0	0	0	1.693	1.353	1.25	0.148
Indo	indoleamine-pyrrole 2,3 dioxygenase	NM_008324	0	0	0	0	0	5.159	6.901	0.75	-2.079	0	0	0	0	0	7.546	6.901	1.09	0.12
Gabrb1	gamma-aminobutyric acid (GABA-A) receptor,	NM_008069	102	0	98	3	1	4.648	6.261	0.74	-2.074	35	0	35	0	0	8.633	6.261	1.38	1.179
AK048739	Mus musculus adult retina cDNA, RIKEN full-length enriched library, clone:A930011G23 product:hypothetical protein, full insert sequence.	AK048739	43	0	40	1	2	0.83	1.601	0.52	-2.073	45	0	45	0	0	1.441	1.601	0.90	-0.709
Erf	Ets2 repressor factor	NM_010155	1	0	1	0	0	21.443	26.446	0.81	-2.073	0	0	0	0	0	25.034	26.446	0.95	-0.267
Adck2	aarF domain containing kinase 2	NM_178873	2	0	2	0	0	6.178	8.089	0.76	-2.068	0	0	0	0	0	7.457	8.089	0.92	-0.623
Epas1	endothelial PAS domain protein 1	NM_010137	1	0	1	0	0	18.462	22.845	0.81	-2.068	2	0	2	0	0	25.408	22.845	1.11	0.528
Gpr37	G protein-coupled receptor 37	NM_010338	0	0	0	0	0	12.858	15.971	0.81	-2.055	0	0	0	0	0	17.07	15.971	1.07	0.23
Rad9b	3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630082N15 product:hypothetical protein, full insert sequence.	AK042331	1	0	0	0	1	0.651	1.322	0.49	-2.054	0	0	0	0	0	1.184	1.322	0.90	-0.655
Cdk10	Mus musculus 8 days embryo whole body cDNA, RIKEN full-length enriched library, clone:5730522O06 product:cyclin-dependent kinase (CDC2-like) 10, full insert sequence.	BC128325	12	1	11	0	0	4.738	6.364	0.74	-2.051	0	0	0	0	0	5.509	6.364	0.87	-0.831
1110029E03Rik	hypothetical protein LOC242406	AK170117	3	0	1	1	1	15.764	19.401	0.81	-2.05	0	0	0	0	0	19.305	19.401	1.00	-0.058
Gpr6	G protein-coupled receptor 6	AK139367	0	0	0	0	0	12.346	15.336	0.81	-2.048	0	0	0	0	0	16.731	15.336	1.09	0.319
Kif27	kinesin family member 27	NM_175214	0	0	0	0	0	1.596	2.459	0.65	-2.045	0	0	0	0	0	2.307	2.459	0.94	-0.528
Drd1a	dopamine receptor D1A	NM_010076	0	0	0	0	0	38.806	50.33	0.77	-2.043	1	0	0	0	1	50.043	50.33	0.99	-0.034
AK140390	Mus musculus 4 days neonate thymus cDNA, RIKEN full-length enriched library, clone:B630019P21 product:hypothetical Zn-finger-like, PHD finger/Proline-rich region profile/Cysteine-rich region profile/FYVE/PHD zinc finger containing protein, full insert sequence.	AK140390	8	2	4	2	0	12.982	16.088	0.81	-2.043	4	0	4	0	0	14.146	16.088	0.88	-0.747
Htr2c	5-hydroxytryptamine (serotonin) receptor 2C	BC098327	25	1	19	0	5	14.035	17.313	0.81	-2.04	4	0	4	0	0	17.72	17.313	1.02	0.029
Gng7	guanine nucleotide binding protein (G protein),	NM_001038655	18	0	17	0	1	149.227	193.433	0.77	-2.039	18	0	18	0	0	195.63	193.433	1.01	0.046
